Sentence,Labels,POS,Words
তিনি জেগে উঠলেন এবং বৃষ্টি হচ্ছিল।,Compound,"['সর্বনাম', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া']","['তিনি', 'জেগে', 'উঠলেন', 'এবং', 'বৃষ্টি', 'হচ্ছিল।']"
প্রশ্ন পুড়ে গিয়েছিলো কিন্তু কিছু জিজ্ঞেস করতে পারিনি।,Compound,"['বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া']","['প্রশ্ন', 'পুড়ে', 'গিয়েছিলো', 'কিন্তু', 'কিছু', 'জিজ্ঞেস', 'করতে', 'পারিনি।']"
আমার আনুগত্য করো নতুবা তোমার শাস্তি হবে।,Compound,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['আমার', 'আনুগত্য', 'করো', 'নতুবা', 'তোমার', 'শাস্তি', 'হবে।']"
কৃষকরা খুবই দরিদ্র এবং তাই তারা উভয় প্রান্ত একসাথে মেটাতে পারে না।,Compound,"['বিশেষ্য', 'অব্যয়', 'বিশেষণ', 'অব্যয়', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়']","['কৃষকরা', 'খুবই', 'দরিদ্র', 'এবং', 'তাই', 'তারা', 'উভয়', 'প্রান্ত', 'একসাথে', 'মেটাতে', 'পারে', 'না।']"
আমি জীবিত জিনিসের প্রতি সত্যিকারের ভালবাসা দেখিয়েছিলাম এবং আমি রক্ষা পেয়েছি।,Compound,"['সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'অব্যয়', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['আমি', 'জীবিত', 'জিনিসের', 'প্রতি', 'সত্যিকারের', 'ভালবাসা', 'দেখিয়েছিলাম', 'এবং', 'আমি', 'রক্ষা', 'পেয়েছি।']"
সে আমাকে খুঁজে পেলো এবং পাগলের মত অভিনয় করেছে।,Compound,"['সর্বনাম', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'অব্যয়', 'ক্রিয়া', 'ক্রিয়া']","['সে', 'আমাকে', 'খুঁজে', 'পেলো', 'এবং', 'পাগলের', 'মত', 'অভিনয়', 'করেছে।']"
নাবিকরা জাহাজ দেখলো সেজন্য আনন্দে কেঁদে উঠল।,Compound,"['বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া']","['নাবিকরা', 'জাহাজ', 'দেখলো', 'সেজন্য', 'আনন্দে', 'কেঁদে', 'উঠল।']"
অফিসার অপরাধ করেছে তাই এটাকে উপেক্ষা করা যাবে না।,Compound,"['বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়']","['অফিসার', 'অপরাধ', 'করেছে', 'তাই', 'এটাকে', 'উপেক্ষা', 'করা', 'যাবে', 'না।']"
এটা আমাকে বিরক্ত করেছে কিন্তু কারণটা জানতাম না।,Compound,"['সর্বনাম', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়']","['এটা', 'আমাকে', 'বিরক্ত', 'করেছে', 'কিন্তু', 'কারণটা', 'জানতাম', 'না।']"
"যেহেতু তিনি তাদের প্রতি গভীর ভালবাসা অনুভব করেছিলেন, সেহেতু তিনি তাদের হৃদয় থেকে আশীর্বাদ করেছিলেন।",Complex,"['অব্যয়', 'সর্বনাম', 'সর্বনাম', 'বিশেষণ', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া']","['যেহেতু', 'তিনি', 'তাদের', 'প্রতি', 'গভীর', 'ভালবাসা', 'অনুভব', 'করেছিলেন', 'সেহেতু', 'তিনি', 'তাদের', 'হৃদয়', 'থেকে', 'আশীর্বাদ', 'করেছিলেন।']"
যেহেতু আমার গোড়ালি দুর্বল ছিল সেহেতু আমার হাঁটা শিখতে ধীর হলো।,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'বিশেষণ', 'ক্রিয়া']","['যেহেতু', 'আমার', 'গোড়ালি', 'দুর্বল', 'ছিল', 'সেহেতু', 'আমার', 'হাঁটা', 'শিখতে', 'ধীর', 'হলো।']"
যারা কথা বলতে পারছিল না তাদের গলা শুকিয়ে গিয়েছিল যে,Complex,"['সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়']","['যারা', 'কথা', 'বলতে', 'পারছিল', 'না', 'তাদের', 'গলা', 'শুকিয়ে', 'গিয়েছিল', 'যে']"
যখন দরজা খুললে তখন জন ভিতরে ঢুকল।,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['যখন', 'দরজা', 'খুললে', 'তখন', 'জন', 'ভিতরে', 'ঢুকল।']"
"কুকুরটি যখন তার কাছাকাছি শুয়েছিল, তখন সেখানে একটি আরাম পাওয়া যায়।",Complex,"['বিশেষ্য', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['কুকুরটি', 'যখন', 'তার', 'কাছাকাছি', 'শুয়েছিল', 'তখন', 'সেখানে', 'একটি', 'আরাম', 'পাওয়া', 'যায়।']"
যেহেতু প্রশ্নে পুড়ে গেলো সেহেতু কিছু জিজ্ঞেস করতে পারিনি।,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া']","['যেহেতু', 'প্রশ্নে', 'পুড়ে', 'গেলো', 'সেহেতু', 'কিছু', 'জিজ্ঞেস', 'করতে', 'পারিনি।']"
যত আমাকে না মানবে তত শাস্তি পেতে হবে।,Complex,"['অব্যয়', 'সর্বনাম', 'অব্যয়', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['যত', 'আমাকে', 'না', 'মানবে', 'তত', 'শাস্তি', 'পেতে', 'হবে।']"
যেহেতু কৃষকরা খুবই দরিদ্র সেহেতু তাই তারা উভয় প্রান্ত একসাথে মেটাতে পারে না।,Complex,"['অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'বিশেষণ', 'অব্যয়', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়']","['যেহেতু', 'কৃষকরা', 'খুবই', 'দরিদ্র', 'সেহেতু', 'তাই', 'তারা', 'উভয়', 'প্রান্ত', 'একসাথে', 'মেটাতে', 'পারে', 'না।']"
যেমন আমি সমস্ত জীবন্ত জিনিসের প্রতি সত্যিকারের ভালবাসা দেখিয়েছিলাম তেমন আমি রক্ষা পেয়েছি,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষণ', 'বিশেষণ', 'বিশেষ্য', 'বিশেষণ', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['যেমন', 'আমি', 'সমস্ত', 'জীবন্ত', 'জিনিসের', 'প্রতি', 'সত্যিকারের', 'ভালবাসা', 'দেখিয়েছিলাম', 'তেমন', 'আমি', 'রক্ষা', 'পেয়েছি']"
যখন সে আমাকে খুঁজে পেলো তখন পাগলের মত অভিনয় করেছে।,Complex,"['অব্যয়', 'সর্বনাম', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া']","['যখন', 'সে', 'আমাকে', 'খুঁজে', 'পেলো', 'তখন', 'পাগলের', 'মত', 'অভিনয়', 'করেছে।']"
যখন নাবিকরা জাহাজ দেখলো তখন আনন্দে কেঁদে উঠল।,Complex,"['অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'নাবিকরা', 'জাহাজ', 'দেখলো', 'তখন', 'আনন্দে', 'কেঁদে', 'উঠল।']"
অফিসার যা অপরাধ করেছেন তা উপেক্ষা করা যায় না।,Complex,"['বিশেষ্য', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়']","['অফিসার', 'যা', 'অপরাধ', 'করেছেন', 'তা', 'উপেক্ষা', 'করা', 'যায়', 'না।']"
যদিও এটা আমাকে বিরক্ত করেছিল তবুও আমি কারণটা জানি না,Complex,"['অব্যয়', 'সর্বনাম', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়']","['যদিও', 'এটা', 'আমাকে', 'বিরক্ত', 'করেছিল', 'তবুও', 'আমি', 'কারণটা', 'জানি', 'না']"
নিয়মিত ব্যায়াম না করলে অসুস্থ হয়ে পড়বেন।,Simple,"['বিশেষণ', 'বিশেষ্য', 'অব্যয়', 'ক্রিয়া', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া']","['নিয়মিত', 'ব্যায়াম', 'না', 'করলে', 'অসুস্থ', 'হয়ে', 'পড়বেন।']"
অনিয়মিত থাকার কারনে আপনাকে ব্যাখ্যার জন্য ডেকেছিলেন।,Simple,"['বিশেষণ', 'ক্রিয়া', 'বিশেষণ', 'সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['অনিয়মিত', 'থাকার', 'কারনে', 'আপনাকে', 'ব্যাখ্যার', 'জন্য', 'ডেকেছিলেন।']"
করুণাময় কাজ করে তিনি আমার দৃষ্টি আকর্ষণ করেছে।,Simple,"['বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'সর্বনাম', 'সর্বনাম', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া']","['করুণাময়', 'কাজ', 'করে', 'তিনি', 'আমার', 'দৃষ্টি', 'আকর্ষণ', 'করেছে।']"
কৃষকরা ভালো ফসল ফলানোর জন্য জমিতে সার দেয়,Simple,"['বিশেষ্য', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'বিশেষণ', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া']","['কৃষকরা', 'ভালো', 'ফসল', 'ফলানোর', 'জন্য', 'জমিতে', 'সার', 'দেয়']"
বিশ বছর আগের কথা তখন আমি প্যারিসে থাকতাম।,Simple,"['বিশেষণ', 'বিশেষ্য', 'বিশেষণ', 'বিশেষ্য', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['বিশ', 'বছর', 'আগের', 'কথা', 'তখন', 'আমি', 'প্যারিসে', 'থাকতাম।']"
সত্যি কথা না বললে তোকে চাকরিচ্যুত করব,Simple,"['বিশেষণ', 'বিশেষ্য', 'অব্যয়', 'ক্রিয়া', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া']","['সত্যি', 'কথা', 'না', 'বললে', 'তোকে', 'চাকরিচ্যুত', 'করব']"
খবরটা শোনার সাথে সাথে আমি বাড়ির উদ্দেশ্যে রওনা দিলাম।,Simple,"['বিশেষ্য', 'ক্রিয়া', 'বিশেষণ', 'বিশেষণ', 'সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া']","['খবরটা', 'শোনার', 'সাথে', 'সাথে', 'আমি', 'বাড়ির', 'উদ্দেশ্যে', 'রওনা', 'দিলাম।']"
মাটন চপ সবচেয়ে সস্তা খাবার থাকার কারনে এটি বেছে নিয়েছিলাম।,Simple,"['বিশেষ্য', 'বিশেষ্য', 'বিশেষণ', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'বিশেষণ', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া']","['মাটন', 'চপ', 'সবচেয়ে', 'সস্তা', 'খাবার', 'থাকার', 'কারনে', 'এটি', 'বেছে', 'নিয়েছিলাম।']"
গরীবদের সাহায্য করলে আল্লাহ আপনার মঙ্গল করবেন।,Simple,"['বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['গরীবদের', 'সাহায্য', 'করলে', 'আল্লাহ', 'আপনার', 'মঙ্গল', 'করবেন।']"
রাস্তায় দুর্ঘটনা হওয়ায় কলেজে যেতে দেরি হয়ে গেল।,Simple,"['বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['রাস্তায়', 'দুর্ঘটনা', 'হওয়ায়', 'কলেজে', 'যেতে', 'দেরি', 'হয়ে', 'গেল।']"
সাপটিকে আঘাত করার সাথে সাথেই সাপটি পালিয়ে যায়।,Simple,"['বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'বিশেষণ', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['সাপটিকে', 'আঘাত', 'করার', 'সাথে', 'সাথেই', 'সাপটি', 'পালিয়ে', 'যায়।']"
অনেক চেষ্টা করা স্বত্তেও খেলায় উত্তীর্ণ হতে পারেনি।,Simple,"['বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া']","['অনেক', 'চেষ্টা', 'করা', 'স্বত্তেও', 'খেলায়', 'উত্তীর্ণ', 'হতে', 'পারেনি।']"
সুষম খাবার না খেলে আপনার স্বাস্থ্য হারাবেন।,Simple,"['বিশেষণ', 'বিশেষ্য', 'অব্যয়', 'ক্রিয়া', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['সুষম', 'খাবার', 'না', 'খেলে', 'আপনার', 'স্বাস্থ্য', 'হারাবেন।']"
না পড়লে পাশ হবে না।,Simple,"['অব্যয়', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়']","['না', 'পড়লে', 'পাশ', 'হবে', 'না।']"
সে আমাকে কি বললো বুঝতে পারলাম না।,Simple,"['সর্বনাম', 'সর্বনাম', 'অব্যয়', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়']","['সে', 'আমাকে', 'কি', 'বললো', 'বুঝতে', 'পারলাম', 'না।']"
তার কেনা অ্যাপার্টমেন্টটি চমৎকার ছিল।,Simple,"['সর্বনাম', 'ক্রিয়া', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['তার', 'কেনা', 'অ্যাপার্টমেন্টটি', 'চমৎকার', 'ছিল।']"
মানুষটি খুব উঁচু থাকার কারনে স্পর্শ করতে পারি না।,Simple,"['বিশেষ্য', 'বিশেষণ', 'বিশেষণ', 'ক্রিয়া', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়']","['মানুষটি', 'খুব', 'উঁচু', 'থাকার', 'কারনে', 'স্পর্শ', 'করতে', 'পারি', 'না।']"
দুর্বল লোকটি হাঁটতে পারে না।,Simple,"['বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়']","['দুর্বল', 'লোকটি', 'হাঁটতে', 'পারে', 'না।']"
নিয়মিত ব্যায়াম করুন নাহলে অসুস্থ হয়ে পড়বেন।,Compound,"['বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া']","['নিয়মিত', 'ব্যায়াম', 'করুন', 'নাহলে', 'অসুস্থ', 'হয়ে', 'পড়বেন।']"
আপনি অনিয়মিত ছিলেন এবং তিনি আপনাকে ব্যাখ্যার জন্য ডেকেছিলেন।,Compound,"['সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['আপনি', 'অনিয়মিত', 'ছিলেন', 'এবং', 'তিনি', 'আপনাকে', 'ব্যাখ্যার', 'জন্য', 'ডেকেছিলেন।']"
তিনি করুণাময় কাজ করেছেন এবং এটি আমার দৃষ্টি আকর্ষণ করেছে।,Compound,"['সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'সর্বনাম', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া']","['তিনি', 'করুণাময়', 'কাজ', 'করেছেন', 'এবং', 'এটি', 'আমার', 'দৃষ্টি', 'আকর্ষণ', 'করেছে।']"
কৃষকরা ভালো ফসল ফলাতে চায় এবং তাই তারা তাদের জমিতে সার দেয়।,Compound,"['বিশেষ্য', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়', 'অব্যয়', 'সর্বনাম', 'সর্বনাম', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া']","['কৃষকরা', 'ভালো', 'ফসল', 'ফলাতে', 'চায়', 'এবং', 'তাই', 'তারা', 'তাদের', 'জমিতে', 'সার', 'দেয়।']"
এটা বিশ বছর আগে এবং তখন আমি প্যারিসে থাকতাম।,Compound,"['সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'বিশেষণ', 'অব্যয়', 'অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['এটা', 'বিশ', 'বছর', 'আগে', 'এবং', 'তখন', 'আমি', 'প্যারিসে', 'থাকতাম।']"
সত্যি কথা বলো নইলে তোকে চাকরিচ্যুত করব।,Compound,"['বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া']","['সত্যি', 'কথা', 'বলো', 'নইলে', 'তোকে', 'চাকরিচ্যুত', 'করব।']"
খবরটা শুনলাম এবং বাড়ির উদ্দেশ্যে রওনা দিলাম।,Compound,"['বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া']","['খবরটা', 'শুনলাম', 'এবং', 'বাড়ির', 'উদ্দেশ্যে', 'রওনা', 'দিলাম।']"
মাটন চপ মেনুতে সবচেয়ে সস্তা খাবার ছিল এবং তাই আমি নিজের জন্য এটি বেছে নিয়েছিলাম।,Compound,"['বিশেষ্য', 'বিশেষ্য', 'বিশেষ্য', 'বিশেষণ', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'অব্যয়', 'সর্বনাম', 'সর্বনাম', 'বিশেষণ', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া']","['মাটন', 'চপ', 'মেনুতে', 'সবচেয়ে', 'সস্তা', 'খাবার', 'ছিল', 'এবং', 'তাই', 'আমি', 'নিজের', 'জন্য', 'এটি', 'বেছে', 'নিয়েছিলাম।']"
গরীবদের সাহায্য করুন এবং আল্লাহ আপনাকে আশীর্বাদ করবেন।,Compound,"['বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['গরীবদের', 'সাহায্য', 'করুন', 'এবং', 'আল্লাহ', 'আপনাকে', 'আশীর্বাদ', 'করবেন।']"
রাস্তায় একটা এক্সিডেন্ট হলো তদাপি কলেজে যেতে দেরি হয়ে গেল।,Compound,"['বিশেষ্য', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['রাস্তায়', 'একটা', 'এক্সিডেন্ট', 'হলো', 'তদাপি', 'কলেজে', 'যেতে', 'দেরি', 'হয়ে', 'গেল।']"
তিনি সাপটিকে আঘাত করলেন এবং সাপটি পালিয়ে গেল।,Compound,"['সর্বনাম', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['তিনি', 'সাপটিকে', 'আঘাত', 'করলেন', 'এবং', 'সাপটি', 'পালিয়ে', 'গেল।']"
অনেক চেষ্টা করলো অথচ খেলায় উত্তীর্ণ হতে পারেনি।,Compound,"['বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া']","['অনেক', 'চেষ্টা', 'করলো', 'অথচ', 'খেলায়', 'উত্তীর্ণ', 'হতে', 'পারেনি।']"
সুষম খাবার খান নতুবা আপনি আপনার স্বাস্থ্য হারাবেন।,Compound,"['বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া']","['সুষম', 'খাবার', 'খান', 'নতুবা', 'আপনি', 'আপনার', 'স্বাস্থ্য', 'হারাবেন।']"
পড়ো নাহলে পাশ করবে না।,Compound,"['ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়']","['পড়ো', 'নাহলে', 'পাশ', 'করবে', 'না।']"
সে আমাকে কিছু বলেছিল কিন্তু আমি বুঝতে পারিনি।,Compound,"['সর্বনাম', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া']","['সে', 'আমাকে', 'কিছু', 'বলেছিল', 'কিন্তু', 'আমি', 'বুঝতে', 'পারিনি।']"
তিনি একটি অ্যাপার্টমেন্ট কিনেছিলেন এবং এটি চমৎকার ছিল।,Compound,"['সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া']","['তিনি', 'একটি', 'অ্যাপার্টমেন্ট', 'কিনেছিলেন', 'এবং', 'এটি', 'চমৎকার', 'ছিল।']"
মানুষটি খুব উঁচু এবং আমরা তাকে স্পর্শ করতে পারি না।,Compound,"['বিশেষ্য', 'বিশেষণ', 'বিশেষণ', 'অব্যয়', 'সর্বনাম', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়']","['মানুষটি', 'খুব', 'উঁচু', 'এবং', 'আমরা', 'তাকে', 'স্পর্শ', 'করতে', 'পারি', 'না।']"
সে খুবই দুর্বল তাই হাঁটতে পারে না।,Compound,"['সর্বনাম', 'বিশেষণ', 'বিশেষণ', 'অব্যয়', 'ক্রিয়া', 'ক্রিয়া', 'অব্যয়']","['সে', 'খুবই', 'দুর্বল', 'তাই', 'হাঁটতে', 'পারে', 'না।']"
যদি নিয়মিত ব্যায়াম না করেন তবে আপনি অসুস্থ হয়ে পড়বেন।,Complex,"['অব্যয়', 'বিশেষণ', 'বিশেষ্য', 'অব্যয়', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'ক্রিয়া']","['যদি', 'নিয়মিত', 'ব্যায়াম', 'না', 'করেন', 'তবে', 'আপনি', 'অসুস্থ', 'হয়ে', 'পড়বেন।']"
যেহেতু আপনি অনিয়মিত ছিলেন সেহেতু তিনি আপনাকে ব্যাখ্যার জন্য ডেকেছিলেন।,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষণ', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'সর্বনাম', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['যেহেতু', 'আপনি', 'অনিয়মিত', 'ছিলেন', 'সেহেতু', 'তিনি', 'আপনাকে', 'ব্যাখ্যার', 'জন্য', 'ডেকেছিলেন।']"
তিনি যে করুণাময় কাজ করেছিলেন তা আমার দৃষ্টি আকর্ষণ করেছিল।,Complex,"['সর্বনাম', 'অব্যয়', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'সর্বনাম', 'সর্বনাম', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া']","['তিনি', 'যে', 'করুণাময়', 'কাজ', 'করেছিলেন', 'তা', 'আমার', 'দৃষ্টি', 'আকর্ষণ', 'করেছিল।']"
কৃষকরা তাদের জমিতে সার দেয় যাতে তারা ভালো ফসল ফলাতে পারে।,Complex,"['বিশেষ্য', 'সর্বনাম', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'ক্রিয়া']","['কৃষকরা', 'তাদের', 'জমিতে', 'সার', 'দেয়', 'যাতে', 'তারা', 'ভালো', 'ফসল', 'ফলাতে', 'পারে।']"
যখন আমি প্যারিসে থাকতাম তখন বিশ বছর আগে ছিলো,Complex,"['অব্যয়', 'সর্বনাম', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষণ', 'বিশেষ্য', 'বিশেষণ', 'ক্রিয়া']","['যখন', 'আমি', 'প্যারিসে', 'থাকতাম', 'তখন', 'বিশ', 'বছর', 'আগে', 'ছিলো']"
যখন সত্যি কথা বলবে না তখন চাকরিচ্যুত হবে।,Complex,"['অব্যয়', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'অব্যয়', 'ক্রিয়া', 'ক্রিয়া']","['যখন', 'সত্যি', 'কথা', 'বলবে', 'না', 'তখন', 'চাকরিচ্যুত', 'হবে।']"
যখন খবরটা শুনলাম তখন বাড়ির উদ্দেশ্যে রওনা দিলাম।,Complex,"['অব্যয়', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'বিশেষ্য', 'ক্রিয়া']","['যখন', 'খবরটা', 'শুনলাম', 'তখন', 'বাড়ির', 'উদ্দেশ্যে', 'রওনা', 'দিলাম।']"
যেহেতু মাটন চপ মেনুতে সবচেয়ে সস্তা খাবার ছিল সেহেতু আমি নিজের জন্য এটি বেছে নিয়েছিলাম।,Complex,"['অব্যয়', 'বিশেষ্য', 'বিশেষ্য', 'অব্যয়', 'বিশেষণ', 'বিশেষণ', 'বিশেষ্য', 'ক্রিয়া', 'অব্যয়', 'সর্বনাম', 'বিশেষণ', 'অব্যয়', 'সর্বনাম', 'ক্রিয়া', 'ক্রিয়া']","['যেহেতু', 'মাটন', 'চপ', 'মেনুতে', 'সবচেয়ে', 'সস্তা', 'খাবার', 'ছিল', 'সেহেতু', 'আমি', 'নিজের', 'জন্য', 'এটি', 'বেছে', 'নিয়েছিলাম।']"
